Metadata_Plate,negcon,poscon,trt
APTJUM110,32,32,320
APTJUM112,32,32,320
APTJUM114,32,32,320
APTJUM115,32,32,320
APTJUM116,32,32,320
APTJUM117,32,32,320
APTJUM118,32,32,320
APTJUM120,32,32,320
APTJUM121,32,32,320
APTJUM122,32,32,320
APTJUM123,32,32,320
APTJUM124,32,32,320
APTJUM125,32,32,320
APTJUM126,32,32,320
APTJUM128,32,32,320
APTJUM129,32,32,320
APTJUM131,32,32,320
APTJUM132,32,32,320
APTJUM133,32,32,49
APTJUM208,32,32,320
APTJUM210,32,32,320
APTJUM212,32,32,320
APTJUM213,32,32,320
APTJUM214,32,32,320
APTJUM216,32,32,320
APTJUM217,32,32,320
APTJUM218,32,32,320
APTJUM219,32,32,320
APTJUM220,32,32,320
APTJUM221,32,32,320
APTJUM228,32,32,320
APTJUM229,32,32,320
APTJUM230,32,32,319
APTJUM231,32,32,320
APTJUM232,32,32,320
APTJUM233,32,32,49
APTJUM301,32,32,320
APTJUM302,32,32,320
APTJUM303,32,32,320
APTJUM304,32,32,320
APTJUM324,32,32,320
APTJUM325,32,32,320
APTJUM326,32,32,320
APTJUM327,32,32,320
APTJUM409,32,32,320
APTJUM415,32,32,320
APTJUM419,32,32,320
APTJUM422,32,32,320
APTJUM430,32,32,320
APTJUM501,32,32,320
APTJUM511,32,32,320
APTJUM513,32,32,320
APTJUM523,32,32,320
APTJUM527,32,32,320
APTJUM611,32,32,320
ATSJUM103,32,32,320
ATSJUM104,32,32,320
ATSJUM106,32,32,320
ATSJUM107,32,32,319
ATSJUM108,32,32,320
ATSJUM109,32,32,320
ATSJUM110,32,32,320
ATSJUM111,32,32,320
ATSJUM112,32,32,320
ATSJUM113,32,32,320
ATSJUM114,32,32,320
ATSJUM115,32,32,320
ATSJUM116,32,32,320
ATSJUM117,32,32,320
ATSJUM118,32,32,320
ATSJUM119,32,32,320
ATSJUM120,32,32,320
ATSJUM121,32,32,320
ATSJUM122,32,32,320
ATSJUM123,32,32,320
ATSJUM124,32,32,320
ATSJUM125,32,32,320
ATSJUM126,32,32,320
ATSJUM127,32,32,320
ATSJUM128,32,32,320
ATSJUM129,32,32,320
ATSJUM130,32,32,320
ATSJUM131,32,32,320
ATSJUM132,32,32,80
ATSJUM201,32,32,320
ATSJUM202,32,32,320
ATSJUM203,32,32,320
ATSJUM204,32,32,320
ATSJUM205,32,32,320
ATSJUM206,32,32,320
ATSJUM207,32,32,320
ATSJUM208,32,32,320
ATSJUM209,32,32,320
ATSJUM210,32,32,320
ATSJUM211,32,32,320
ATSJUM212,32,32,320
ATSJUM213,32,32,320
ATSJUM214,32,32,320
ATSJUM215,32,32,320
ATSJUM216,32,32,320
ATSJUM217,32,32,320
ATSJUM220,32,32,320
ATSJUM221,32,32,320
ATSJUM222,32,32,320
ATSJUM223,32,32,320
ATSJUM224,32,32,320
ATSJUM225,32,32,320
ATSJUM226,32,32,320
ATSJUM227,32,32,320
ATSJUM228,32,32,320
ATSJUM229,32,32,320
ATSJUM230,32,32,320
ATSJUM231,32,32,320
ATSJUM232,32,32,80
ATSJUM401,32,32,320
ATSJUM405,32,32,320
ATSJUM418,32,32,320
ATSJUM419,32,32,320
ATSJUM502,32,32,320
ATTJUM202,32,32,320
ATTJUM203,32,32,320
ATTJUM204,32,32,320
ATTJUM205,32,32,320
ATTJUM206,32,32,320
ATTJUM207,32,32,320
B040103a,32,32,320
B040103b,32,32,319
B040103c,32,32,320
B040103d,32,32,320
B040203a,32,32,320
B040203b,32,32,320
B040203c,32,32,320
B040203d,32,30,320
B040303a,32,32,320
B040303b,32,32,320
B040303c,32,32,320
B040303d,32,32,320
B040603a,32,32,320
B040603b,32,32,320
B040603c,32,32,319
B040603d,32,32,320
B040903a,32,32,320
B040903b,32,32,320
B040903c,32,32,320
B040903d,32,32,192
BR00117035,16,8,341
BR00117036,16,8,341
BR00117037,16,12,337
BR00117038,16,12,337
BR00117039,16,12,337
BR00117040,16,12,337
BR00117041,16,12,337
BR00121423,64,11,309
BR00121425,64,11,309
BR00121426,64,11,308
BR00121427,64,11,308
BR00121428,64,11,308
BR00121436,64,11,308
BR00121437,64,11,309
BR00121543,16,12,343
BR00121544,16,12,343
BR00121545,16,12,343
BR00121546,16,12,343
BR00121547,16,12,341
BR00121548,16,12,341
BR00121549,16,12,341
BR00121550,16,12,341
BR00121551,16,12,341
BR00121552,12,10,256
BR00121553,12,10,256
BR00121554,12,10,256
BR00121555,12,10,256
BR00121556,12,10,256
BR00121559,16,8,341
BR00121560,16,8,341
BR00121562,16,8,341
BR00123506,16,12,341
BR00123507,16,12,341
BR00123509,16,12,342
BR00123510,16,12,342
BR00123511,16,12,342
BR00123512,16,12,343
BR00123513,16,12,343
BR00123514,16,12,343
BR00123515,16,12,343
BR00123516,16,12,343
BR00123517,16,12,335
BR00123518,16,12,335
BR00123519,16,12,335
BR00123520,16,12,335
BR00123521,16,12,335
BR00123525,16,12,343
BR00123526,16,12,343
BR00123527,16,12,343
BR00123528B,16,12,343
BR00123529,16,12,343
BR00123530,16,12,343
BR00123532,16,12,341
BR00123533,16,12,340
BR00123534,16,12,343
BR00123535,16,12,343
BR00123536,16,12,343
BR00123537,16,12,343
BR00123614,16,12,342
BR00123615,16,12,341
BR00123616,16,12,342
BR00123617,16,12,342
BR00123618,16,12,342
BR00123619,16,12,329
BR00123620,16,12,329
BR00123621,16,12,343
BR00123622,16,12,343
BR00123623,16,12,341
BR00123624,16,12,329
BR00123625,16,12,329
BR00123626,16,12,329
BR00123627,16,12,343
BR00123628,16,12,343
BR00123629,16,12,343
BR00123788,16,12,342
BR00123789,16,12,342
BR00124781,20,12,339
BR00124782,20,12,339
BR00124787,16,12,344
BR00124788,16,12,344
BR00124790,16,12,339
BR00124791,16,12,339
BR00124794,16,16,336
BR00125619,16,12,343
BR00125620,16,12,344
BR00125621,16,12,344
BR00125622,16,12,337
BR00125623,16,12,337
BR00125624,16,12,337
BR00125625,16,12,337
BR00125626,16,12,337
BR00125627,16,12,343
BR00125628,16,12,343
BR00125629,16,12,343
BR00125630,16,12,343
BR00125631,16,12,343
BR00125633,16,12,343
BR00125634,16,12,343
BR00125635,16,12,343
BR00125636,16,12,343
BR00126043,16,12,339
BR00126044,16,12,339
BR00126045,16,12,339
BR00126046,16,16,338
BR00126047,16,16,338
BR00126048,16,16,338
BR00126049,16,16,338
BR00126050,16,16,338
BR00126051,16,12,344
BR00126052,16,12,344
BR00126053,16,12,344
BR00126055,16,12,344
BR00126056,16,12,341
BR00126057,16,12,341
BR00126058,16,12,341
BR00126059,16,12,341
BR00126060,16,12,341
BR00126062,20,12,339
BR00126385,16,16,334
BR00126386,16,16,337
BR00126387,16,16,337
BR00126388,16,16,337
BR00126389,16,16,337
BR00126390,16,16,338
BR00126391,16,16,338
BR00126392,16,16,338
BR00126393,16,16,338
BR00126394,16,16,338
BR00126395,16,12,343
BR00126396,16,12,343
BR00126397,16,12,343
BR00126398,16,12,343
BR00126399,16,12,343
BR00126400,16,16,336
BR00126401,16,16,336
BR00126402,16,16,336
BR00126403,16,16,336
BR00126404,20,12,339
BR00126520,16,16,338
BR00126521,16,16,339
BR00126534,16,16,339
BR00126535,16,16,339
BR00126536,16,16,339
BR00126537,16,16,339
BR00126538,16,12,342
BR00126539,16,12,342
BR00126540,16,12,342
BR00126541,16,12,342
BR00126542,16,12,342
BR00126543,20,12,339
BR00126545,16,12,340
BR00126546,16,12,340
BR00126547,16,12,340
BR00126548,16,12,340
BR00126549,16,12,340
BR00126550,16,16,338
BR00126551,16,16,338
BR00126552,16,16,338
BR00126553,16,16,338
BR00127149,64,11,309
C13443aW,32,32,320
C13443bW,32,32,320
C13443cW,32,32,320
C13443dW,32,32,320
C13451aW,32,32,320
C13451cW,32,32,320
